title,description,priority,tags
Signal blocked by trees,There has been a persistent issue with signal blocked by trees near the lake. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Pipe leakage,There has been a persistent issue with pipe leakage at the bus depot. Residents are concerned.,low,['water']
Overflowing bins,Authorities are yet to act on the overflowing bins problem near Sector 5.,low,"['environment', 'sanitation', 'garbage']"
Dirty public toilet,The area behind the hospital is suffering due to dirty public toilet. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Open sewage,"Open sewage reported in the residential colony, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Signal blocked by trees,"A case of signal blocked by trees has emerged at the bus depot, disrupting daily activities.",medium,"['transport', 'signal']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees behind the hospital. Residents are concerned.,medium,['signal']
Polluted water body,"A case of polluted water body has emerged outside the railway station, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
No water supply,There has been a persistent issue with no water supply near Sector 5. Residents are concerned.,low,['water']
Sparking transformer,There has been a persistent issue with sparking transformer in the residential colony. Residents are concerned.,high,"['electricity', 'infrastructure', 'public safety']"
School without drinking water,The area near the lake is suffering due to school without drinking water. Immediate attention is needed.,low,['education']
Broken bench,"Broken bench reported outside the railway station, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'environment']"
Flickering light,"Flickering light reported outside Building 14, causing inconvenience and safety concerns.",medium,"['public safety', 'streetlight']"
Frequent voltage drops,"Frequent voltage drops reported outside the railway station, causing inconvenience and safety concerns.",low,"['electricity', 'infrastructure', 'public safety']"
Street in darkness,There has been a persistent issue with street in darkness by the school gate. Residents are concerned.,high,['streetlight']
Uncollected garbage,There has been a persistent issue with uncollected garbage in the market area. Residents are concerned.,medium,['garbage']
Broken classroom windows,The area near the lake is suffering due to broken classroom windows. Immediate attention is needed.,low,"['health', 'education']"
No water supply,The area behind the hospital is suffering due to no water supply. Immediate attention is needed.,low,['water']
Broken bench,There has been a persistent issue with broken bench outside the railway station. Residents are concerned.,medium,"['infrastructure', 'public safety', 'environment']"
Broken classroom windows,Citizens have complained about broken classroom windows near Sector 5. It has been ignored for days.,low,"['health', 'education']"
Dirty public toilet,There has been a persistent issue with dirty public toilet behind the hospital. Residents are concerned.,low,"['health', 'environment']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees outside Building 14. Residents are concerned.,medium,['signal']
Polluted water body,"A case of polluted water body has emerged near the lake, disrupting daily activities.",low,"['sanitation', 'environment']"
Broken classroom windows,"A case of broken classroom windows has emerged near Sector 5, disrupting daily activities.",low,['education']
Signal blocked by trees,There has been a persistent issue with signal blocked by trees in the residential colony. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Street in darkness,"A case of street in darkness has emerged in the residential colony, disrupting daily activities.",high,"['public safety', 'streetlight']"
Faded zebra crossing,Authorities are yet to act on the faded zebra crossing problem at the community center.,low,['road']
Missing bus route board,Citizens have complained about missing bus route board in the residential colony. It has been ignored for days.,low,['transport']
Contaminated water,"Contaminated water reported outside the railway station, causing inconvenience and safety concerns.",low,"['health', 'water']"
Overflowing bins,"Overflowing bins reported at the bus depot, causing inconvenience and safety concerns.",low,"['environment', 'garbage']"
Clogged drainage,Authorities are yet to act on the clogged drainage problem outside the railway station.,high,"['health', 'sanitation', 'environment']"
Missing bus route board,"Missing bus route board reported near the lake, causing inconvenience and safety concerns.",low,"['transport', 'road']"
Unsafe footpath,"Unsafe footpath reported behind the hospital, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Unsafe footpath,Authorities are yet to act on the unsafe footpath problem near Sector 5.,high,"['infrastructure', 'public safety']"
Polluted water body,There has been a persistent issue with polluted water body behind the hospital. Residents are concerned.,low,['environment']
Frequent theft reports,"A case of frequent theft reports has emerged behind the hospital, disrupting daily activities.",low,"['infrastructure', 'public safety']"
Broken classroom windows,Citizens have complained about broken classroom windows outside the railway station. It has been ignored for days.,low,['education']
